date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:22	100/100	---MCZ	200	added ('OK')	text/plain	date:Wed,%2010%20Dec%202025%2017:17:21%20GMT	https://kavidavi.odoo.com/robots.txt		(from )
12:17:22	43464/43464	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2017:17:22%20GMT	https://kavidavi.odoo.com/	C:/Users/SAM/Desktop/el%20xampp%20%20entraba%20con%20el%208080%20,%20y%20tenias%20que%20parar%20el%20servicio%20de%20mariadb%20y%20my%20sql/kavidavi.odoo.com_/kavidavi.odoo.com/index.html	(from )
12:17:23	24566/24566	---M--	200	added ('OK')	image/webp	etag:%22692e50fa-5ff6%22	https://kavidavi.odoo.com/web/image/website/1/logo?unique=c067cc3	C:/Users/SAM/Desktop/el%20xampp%20%20entraba%20con%20el%208080%20,%20y%20tenias%20que%20parar%20el%20servicio%20de%20mariadb%20y%20my%20sql/kavidavi.odoo.com_/kavidavi.odoo.com/web/image/website/1/idasta1c87.webp	(from https://kavidavi.odoo.com/)
12:17:23	24566/24566	---M--	200	added ('OK')	image/webp	date:Tue,%2002%20Dec%202025%2002:37:46%20GMT	https://kavidavi.odoo.com/web/image/website/1/logo/300x300?unique=c067cc3	C:/Users/SAM/Desktop/el%20xampp%20%20entraba%20con%20el%208080%20,%20y%20tenias%20que%20parar%20el%20servicio%20de%20mariadb%20y%20my%20sql/kavidavi.odoo.com_/kavidavi.odoo.com/web/image/website/1/logo/idasta1c87.webp	(from https://kavidavi.odoo.com/)
12:17:23	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2269259713-47e%22	https://kavidavi.odoo.com/web/image/website/1/favicon?unique=c067cc3	C:/Users/SAM/Desktop/el%20xampp%20%20entraba%20con%20el%208080%20,%20y%20tenias%20que%20parar%20el%20servicio%20de%20mariadb%20y%20my%20sql/kavidavi.odoo.com_/kavidavi.odoo.com/web/image/website/1/idasta1c87.ico	(from https://kavidavi.odoo.com/)
12:17:24	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2268c2c15b-12d68%22	https://kavidavi.odoo.com/web/static/src/libs/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/SAM/Desktop/el%20xampp%20%20entraba%20con%20el%208080%20,%20y%20tenias%20que%20parar%20el%20servicio%20de%20mariadb%20y%20my%20sql/kavidavi.odoo.com_/kavidavi.odoo.com/web/static/src/libs/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://kavidavi.odoo.com/)
12:17:24	31136/31136	---MCZ	200	added ('OK')	application/javascript	etag:W/%226939a85c-79a0%22	https://kavidavi.odoo.com/web/assets/1/3e0d1fa/web.assets_frontend_minimal.min.js	C:/Users/SAM/Desktop/el%20xampp%20%20entraba%20con%20el%208080%20,%20y%20tenias%20que%20parar%20el%20servicio%20de%20mariadb%20y%20my%20sql/kavidavi.odoo.com_/kavidavi.odoo.com/web/assets/1/3e0d1fa/web.assets_frontend_minimal.min.js	(from https://kavidavi.odoo.com/)
12:17:24	24566/24566	---M--	200	added ('OK')	image/webp	etag:%22692e50fa-5ff6%22	https://kavidavi.odoo.com/web/image/website/1/logo/idasta?unique=c067cc3	C:/Users/SAM/Desktop/el%20xampp%20%20entraba%20con%20el%208080%20,%20y%20tenias%20que%20parar%20el%20servicio%20de%20mariadb%20y%20my%20sql/kavidavi.odoo.com_/kavidavi.odoo.com/web/image/website/1/logo/idasta1c87-2.webp	(from https://kavidavi.odoo.com/)
12:17:25	29163/29163	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2017:17:24%20GMT	https://kavidavi.odoo.com/shop/cart	C:/Users/SAM/Desktop/el%20xampp%20%20entraba%20con%20el%208080%20,%20y%20tenias%20que%20parar%20el%20servicio%20de%20mariadb%20y%20my%20sql/kavidavi.odoo.com_/kavidavi.odoo.com/shop/cart.html	(from https://kavidavi.odoo.com/)
12:17:25	26232/26232	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2017:17:24%20GMT	https://kavidavi.odoo.com/shop/wishlist	C:/Users/SAM/Desktop/el%20xampp%20%20entraba%20con%20el%208080%20,%20y%20tenias%20que%20parar%20el%20servicio%20de%20mariadb%20y%20my%20sql/kavidavi.odoo.com_/kavidavi.odoo.com/shop/wishlist.html	(from https://kavidavi.odoo.com/)
